fpr,tpr
0.45808,0.88697
0.46139,0.88854
0.46425,0.89027
0.46786,0.89193
0.47143,0.89365
0.475,0.89541
0.47825,0.89709
0.48208,0.89885
0.4855,0.90066
0.48843,0.90241
0.4913,0.90412
0.49432,0.90581
0.49745,0.9075
0.50072,0.90918
0.5044,0.91084
0.50874,0.91258
0.51276,0.91427
0.51569,0.91603
0.51914,0.91771
0.52278,0.91935
0.52656,0.92098
0.5303,0.92268
0.53406,0.92428
0.538,0.92598
0.54214,0.92764
0.54575,0.9294
0.54993,0.93101
0.55431,0.93264
0.5582,0.93419
0.56235,0.93573
0.56606,0.93727
0.56971,0.93877
0.57436,0.94033
0.57844,0.9419
0.58282,0.94342
0.58821,0.94508
0.59233,0.94667
0.59678,0.9483
0.60152,0.94982
0.60665,0.95139
0.61151,0.95288
0.61666,0.95445
0.62203,0.95608
0.62685,0.95755
0.63201,0.95898
0.63675,0.96068
0.64221,0.96221
0.6478,0.9637
0.654,0.96519
0.66003,0.96652
0.6658,0.96803
0.67183,0.96948
0.67938,0.9708
0.68647,0.97222
0.69309,0.97364
0.70104,0.97495
0.70807,0.97627
0.71571,0.97755
0.72169,0.97895
0.7297,0.98022
0.73805,0.98145
0.74681,0.9827
0.75488,0.98389
0.76411,0.98494
0.77354,0.98601
0.78258,0.98723
0.7924,0.98836
0.80451,0.98928
0.81377,0.99034
0.82581,0.99138
0.83803,0.99246
0.85155,0.9935
0.86621,0.99432
0.879,0.99508
0.89366,0.99595
0.90941,0.99667
0.92436,0.99737
0.9392,0.99809
0.95398,0.99865
0.96746,0.99925
0.98041,0.99969
0.99213,0.99995
